HGNC_genes	refGene	Sample_279_CF	Sample_571_CF	Sample_665_CF	Sample_812_CF	Sample_223_CM	Sample_487_CM	Sample_511_CM	Sample_620_CM	Sample_324_DF	Sample_338_DF	Sample_566_DF	Sample_252_DM	Sample_323_DM	Sample_763_DM
1	SGIP1	SGIP1	42.7118098833256	58.2538514672006	31.7471880189531	77.5934669455441	38.3046789394647	67.2774162944459	65.1958205622526	40.6669102749439	24.6926202274345	63.0953448729577	46.8983009852167	50.6381269012827	36.2972256851892	47.6046980862215
2	NECAP2	NECAP2	56.4272467255223	64.6575277922546	89.7450706699761	57.8871896260408	78.1328394276581	66.2341533939699	76.1756018090929	81.0364555955175	61.7606280770972	81.4987342695523	78.951096622595	66.0014205222979	83.3546326754328	74.000372110401
3	AZIN2	AZIN2	1.75945502925149	5.14581133263269	1.95224289428408	3.40512880153181	1.40947952807554	4.70772383839794	3.2166625911365	2.56815187865256	1.65160248341767	2.89773277402853	4.82625618521623	4.02971635961056	2.0479419728863	3.82437322509419
5	CLIC4	CLIC4	404.369869242461	510.235781471268	592.343031507363	577.162086904745	825.115534027458	537.606413401538	500.918825295698	674.279539564259	524.395419488513	493.784809820515	538.985728745334	414.171877019385	628.661612693416	612.662091069746
6	SLC45A1	SLC45A1	0.817384619888489	4.86810087976045	0.685609111683101	4.04268483245692	0.766922684394045	2.1386889459758	1.18603201684363	0.964183336897628	1.37245840171327	0.668707563237352	1.95103973444911	0.903723154177368	0.690190388652288	1.73721528852318
7	TGFBR3	TGFBR3	8.34009391818425	10.177271302318	6.92581407734116	4.72371059276328	4.62226374648302	4.25129631943969	7.61935719911662	3.53233521555019	9.00239663496671	6.82638970804797	6.21985599553703	10.0150303643262	13.7246055972988	11.3856340132706
8	DBT	DBT	16.6247719299354	23.9647784919751	23.2061253564602	31.2257556055364	22.4998533489118	24.0863322147396	23.2534156029644	23.5549088098168	19.3656206682423	24.1709921295168	19.9211425517436	24.059777088263	19.4384768476169	30.4450103801616
9	PRUNE1	PRUNE1	12.9534681287413	12.4969703792508	17.9769033181993	17.6921798581717	13.9289741598053	14.866496331783	17.1974642442326	20.5992813845605	13.4221779286196	19.6711474852321	15.0802168948398	20.1633969317278	16.0327832904966	13.6352653221496
10	C1orf21	C1orf21	15.7796793568303	13.7221635536872	9.81931693851221	17.4893211210591	26.2930114906445	20.6957277881926	4.2948735155398	6.16356450876615	16.8416929294984	10.1002704863975	14.5814548574618	10.0150303643262	12.3102810303883	13.3353144809657
11	NA	RFWD2	25.7406885381833	29.7476902753147	25.960182296611	30.3418711081175	29.6819806500614	28.4549956104828	32.4721190066126	29.4391304826594	23.4132098529561	29.158436038662	28.2387329986056	27.6598545712975	26.6571894371277	28.7702848502184
12	LIN9	LIN9	11.4295307018306	3.46321270640677	5.06653513040393	6.72331814430111	14.4575289828337	5.80314988389774	2.82131858552196	9.23633570392588	8.30453643070573	5.82332836319194	4.35683309121344	6.26680154454142	9.52689028270862	4.81171141065772
13	PRKCZ	PRKCZ	3.87911345031825	7.95558767934007	10.8651613461644	6.92617688141364	5.34773115063955	6.35086290664764	12.5072467230782	7.28093585246059	5.01296246727475	10.4206928604487	8.17089572998614	10.1039211663765	5.41969174040075	7.3987874158685
15	ICMT	ICMT	149.844610995151	87.8871903795679	145.569921051766	107.732479316549	189.937730228239	82.0787086949491	79.931369862431	121.856553877258	135.233676582375	93.7444415213363	98.2267824200848	105.468936632601	139.203481173592	93.084744380724
16	CAMTA1	CAMTA1	9.36528818719693	9.89956084944575	18.5230665088621	15.6925723066338	14.6648053840213	14.6317621791759	24.8168214433492	21.8878628534985	11.7124204281802	16.1325699631011	11.2661542560671	16.5633194486934	12.095303696218	18.1095320364754
17	C1orf159	C1orf159	6.45595309945824	7.35115904661813	5.3221859856078	5.54963545100717	2.08312783193518	4.21217396067184	12.2736343561242	2.33386433884566	4.23368523918331	3.77541145077755	7.23204954198055	3.88156502286017	2.24029011398611	3.19947563929449
21	PINK1-AS	PINK1-AS	7.66124906437855	8.73971131097934	9.7960759516755	6.07127220358225	9.44144007409425	9.87187519575413	6.61302700300688	8.44336249227175	8.54878750219707	9.87736796531839	9.46180923849383	7.73349977837026	5.82701721567095	8.81105595977583
22	EPHB2	EPHB2	240.186392457741	164.600619008276	290.66340187338	196.526646532664	151.291045226814	166.348269480898	157.14924223178	239.477909919545	201.076786854399	138.394602774997	185.231418999165	133.173236604924	207.996228108115	276.329712440629
24	PINK1	PINK1	8.32623994157597	13.5914762817473	16.6754080553432	9.88211847933913	7.56558864334666	6.87249435688564	22.9299523256434	13.2642791767599	11.8636234724368	16.6341006355291	17.9847722889821	12.1039642125067	20.762284642245	16.5472880719762
25	USP48	USP48	65.0721281290887	80.6667186048897	65.469859919027	88.3594699223021	59.7059673620823	78.1273504593963	73.2284919490572	58.4457301225983	57.0849647085486	76.0933481333837	73.1273163626228	74.6238283211705	59.0282501245735	76.5999460673278
26	STMN1	STMN1	334.504265206908	145.160887307219	261.170589577588	149.144641507093	233.382863917155	206.800788446855	151.560515606957	461.978984262314	123.24211207249	199.623139033917	161.569561167087	183.485430565356	318.392746502875	157.02426535975
27	NUDC	NUDC	73.5369078367475	46.8677228994387	79.67010287626	54.6124700126528	62.1414650760364	51.2111676271155	65.537254021647	45.6590370846755	67.8203808507634	59.2084821616405	64.9710901043243	58.0456937388021	58.6209246493033	49.8418314433844
